FrameworkNumber,Framework,title,Small_description,Description,Benefits
RM6179,Legal Services Panel,Legal Services Panel,"General legal advice and services for central government, including finance and complex legal services. Provides for a wide range of commonly needed areas of law, including contracts, dispute resolution and litigation, real estate and corporate finance.",,
RM6181,Outsourced Contact Centre and Business Services,Outsourced Contact Centre and Business Services,"Access contact centre solutions including people, technology and consultancy and business services including HR, source-to-pay, payroll and financial accounting.",,
RM6182,"Occupational Health, Employee Assistance Programmes and Eye Care Services","Occupational Health, Employee Assistance Programmes and Eye Care Services",Access proactive and preventative services as well as treatments to support employee physical and mental health and well-being.,,
RM6183,Trade Law Panel,Trade Law Panel,"Specialist legal advice and support for international trade law, disputes, and negotiations. Available to central government departments and devolved administrations.",,
RM6184,Offsite Construction Solutions,Offsite Construction Solutions,"All public sector organisations can access the design, fabrication, physical delivery, construction or installation and maintenance of prefabricated buildings. Includes direct access to manufacturers for a complete range of offsite construction solutions.",,
RM6186,Fuel Cards and Associated Services VI,Fuel Cards and Associated Services VI,"Allows all public sector organisations to buy vehicle fuel from service stations and fuel stations using a fuel card. Includes regional, nationwide and European locations.",,
RM6187,Management Consultancy Framework Three (MCF3),Management Consultancy Framework Three (MCF3),"Access to consultancy including business, strategy and policy, finance, HR, procurement, health/social care and community, infrastructure and environment.",,
RM6188,Audit & Assurance Services (A&AS),Audit & Assurance Services (A&AS),"Access audit and assurance services including internal and external audit, counter fraud and investigation.",,
RM6193,Software Design and Implementation Services,Software Design and Implementation Services,"Find the skills and services you need to deploy new cloud-based back office systems or upgrade legacy IT systems. Available to all central government departments, the wider public sector and third sector organisations.",,
RM6194,Back Office Software,Back Office Software,"Software as a Service (SaaS) solutions for back office applications, for deploying either in the cloud, on premise or hybrid. Available for all public sector organisations.",,
RM6195,Big Data and Analytics,Big Data and Analytics,All public sector organisations can access both bespoke professional services and commercial ‘off the shelf’ software specific to data and analytics.,,
RM6200,Artificial Intelligence (AI),Artificial Intelligence (AI),"Discovery and consultancy services related to artificial intelligence (AI), implementation and support of AI systems, end-to-end partnerships, and AI technologies.",,
RM6202,Tail Spend Solution,Tail Spend Solution,Provides public sector organisations with products classified as tail spend. These are typically low-complexity products that organisations buy either on an ad-hoc or regular basis.,,
RM6204,Rail Legal Services,Rail Legal Services,"The Department for Transport (DfT) and related organisations can use this agreement to access legal advice and support specific to rail services. 
The wider public sector can not use this agreement.",,
RM6213,Vehicle Charging Infrastructure Solutions (VCIS),Vehicle Charging Infrastructure Solutions (VCIS),Find a range of solutions to help develop the charging infrastructure for electric and hybrid vehicles with this dynamic purchasing system (DPS).,,
RM6217,Travel and Venue Solutions,Travel and Venue Solutions,"Central government and all wider public and third sector organisations can book air, rail, accommodation, meeting venues and additional travel services in the UK and overseas through leading travel suppliers.",,
RM6219,Learning and Training Services DPS,Learning and Training Services DPS,Provides access to standard and niche training options from a large group of pre-qualified training providers in one place.,,
RM6221,Digital Capability for Health,Digital Capability for Health,Application development and management services for the public health and care sector,,
